CEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-5-1,32,22,12,14,9,4,94,49,10,1019,1015,1011,14,9,8,34,8,50,0.00,1,,264
2015-5-2,29,23,17,16,12,7,69,46,23,1015,1013,1010,26,12,10,24,8,,0.00,1,,103
2015-5-3,35,26,16,15,12,7,88,46,10,1011,1010,1008,26,14,10,32,5,50,0.00,1,,246
2015-5-4,25,22,18,17,16,12,78,63,35,1010,1008,1006,31,19,10,21,8,,0.00,8,,72
2015-5-5,28,23,18,16,9,3,78,37,12,1012,1010,1007,31,13,10,32,11,52,0.00,2,,257
2015-5-6,28,22,16,15,8,0,78,42,9,1019,1016,1013,31,14,10,24,11,,0.00,1,,338
2015-5-7,24,18,12,16,12,8,83,64,39,1021,1019,1016,31,15,10,19,6,34,0.00,3,,81
2015-5-8,32,22,13,15,9,3,88,46,11,1020,1016,1015,26,12,10,35,11,52,0.00,1,,259
2015-5-9,27,21,16,16,12,8,69,49,26,1024,1023,1020,31,14,10,23,8,,0.00,2,,93
2015-5-10,27,21,16,17,13,9,88,58,23,1026,1024,1022,31,16,10,21,6,,0.00,1,,99
2015-5-11,28,20,13,17,11,8,83,54,19,1024,1023,1021,31,24,14,19,6,,0.00,,,89
2015-5-12,28,20,12,16,12,9,88,56,22,1024,1023,1021,31,17,10,21,5,,0.00,1,,93
2015-5-13,29,22,14,18,12,8,73,52,17,1025,1021,1017,31,28,26,13,5,,0.00,,,101
2015-5-14,42,30,18,18,8,-4,83,37,4,1018,1012,1006,26,23,19,40,10,60,0.00,,,261
2015-5-15,29,23,17,15,8,-1,68,37,10,1020,1015,1010,26,13,10,45,18,71,0.00,1,,144
2015-5-16,27,20,12,9,3,1,54,30,10,1024,1022,1021,19,18,16,29,14,60,0.00,,,173
2015-5-17,25,18,12,14,8,4,73,43,18,1024,1021,1019,31,25,16,19,6,,0.00,,,107
2015-5-18,26,19,12,16,11,7,78,54,18,1020,1015,1010,31,31,31,23,8,,0.00,,,89
2015-5-19,22,19,15,16,14,10,94,75,38,1015,1011,1008,26,11,5,26,13,37,3.05,5,Rain-Thunderstorm,48
2015-5-20,21,16,11,14,9,3,94,58,24,1022,1017,1016,26,11,9,23,10,,2.03,2,Rain,110
2015-5-21,22,17,12,12,6,2,77,44,19,1024,1023,1021,19,11,10,34,11,42,0.00,1,,48
2015-5-22,22,17,11,14,7,2,82,52,18,1024,1022,1019,26,13,10,21,8,35,0.00,1,,95
2015-5-23,24,18,12,13,9,4,88,57,21,1020,1017,1015,31,14,10,26,8,,0.00,1,,113
2015-5-24,24,18,12,13,10,4,88,56,18,1017,1016,1016,31,14,10,23,8,37,0.00,1,,106
2015-5-25,26,20,13,14,9,6,82,47,18,1017,1016,1015,31,12,10,16,5,,0.00,1,,118
2015-5-26,26,20,16,11,8,6,59,46,20,1016,1016,1015,14,12,10,14,6,,0.00,1,,308
