CEST,Temperatura m ximaC,Temperatura mediaC,Temperatura m¡nimaC,Punto de roc¡oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi¢n al nivel del marhPa, Mean Presi¢n al nivel del marhPa, Min Presi¢n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r fagasKm/h,Precipitaci¢nmm, CloudCover, Eventos,WindDirDegrees
2016-6-1,27,20,13,15,9,-2,73,48,8,1020,1017,1015,19,11,10,27,10,,0.00,1,,62
2016-6-2,25,19,12,16,12,4,82,59,21,1018,1015,1012,31,12,10,21,8,39,0.00,1,,73
2016-6-3,26,21,16,17,14,12,73,59,36,1014,1012,1009,31,14,10,23,8,35,0.00,1,,79
2016-6-4,25,21,16,18,16,12,83,67,37,1016,1012,1010,31,12,6,16,3,,1.02,3,Lluvia-Tormenta,87
2016-6-5,26,21,15,18,16,13,94,69,32,1018,1016,1015,31,11,9,21,6,,0.00,1,,97
2016-6-6,28,22,16,17,16,13,88,66,35,1020,1017,1016,26,12,10,26,6,,0.00,1,,80
2016-6-7,27,22,16,19,16,13,83,62,33,1023,1021,1020,31,11,10,21,8,26,0.00,1,,92
2016-6-8,29,23,17,19,16,13,83,60,26,1023,1019,1015,31,13,10,26,8,,0.00,1,,87
2016-6-9,29,23,17,18,17,14,88,62,32,1017,1014,1011,31,24,16,21,6,26,0.00,,,81
2016-6-10,28,24,21,21,19,16,94,69,42,1012,1010,1008,18,11,9,23,6,32,0.00,3,,74
2016-6-11,27,24,21,19,17,14,83,65,39,1015,1013,1011,27,12,10,23,11,,0.00,3,,73
2016-6-12,29,24,18,20,18,15,88,68,32,1016,1015,1013,31,12,8,24,5,,0.00,1,,90
2016-6-13,33,26,19,20,15,12,83,49,21,1014,1010,1007,18,11,10,26,8,,0.00,1,,100
2016-6-14,27,23,19,18,16,13,73,57,37,1010,1008,1004,31,16,10,27,10,,0.00,1,,115
2016-6-15,32,25,18,17,8,1,83,37,7,1006,1003,999,19,11,10,47,14,61,0.00,1,,266
2016-6-16,27,22,18,7,4,0,46,27,10,1011,1006,1003,19,11,10,37,21,60,0.00,2,,271
2016-6-17,29,22,15,17,8,3,73,37,11,1017,1014,1011,19,11,10,29,11,,0.00,2,,244
2016-6-18,24,21,17,17,13,9,83,56,30,1025,1020,1017,26,11,10,23,10,,0.00,2,,106
2016-6-19,24,20,15,14,10,4,73,47,24,1026,1024,1022,26,11,10,26,8,,0.00,1,,133
2016-6-20,26,20,14,16,11,4,72,49,19,1024,1022,1021,19,11,10,24,10,,0.00,1,,91
2016-6-21,28,22,16,15,11,6,72,46,15,1024,1022,1021,19,16,10,23,6,,0.00,1,,124
2016-6-22,29,22,16,18,12,7,77,48,16,1023,1021,1020,10,10,10,23,8,,0.00,1,,98
2016-6-23,29,23,16,18,13,8,73,49,19,1022,1021,1019,18,11,10,24,8,40,0.00,1,,85
2016-6-24,28,22,17,18,17,13,83,62,35,1021,1017,1014,31,14,10,24,8,,0.00,1,,68
2016-6-25,27,23,18,20,17,15,83,63,39,1016,1015,1014,31,13,10,23,10,,0.00,1,,66
2016-6-26,27,23,19,20,18,17,88,69,48,1020,1017,1016,31,12,10,26,11,37,0.00,3,,65
2016-6-27,27,22,17,19,17,16,84,71,43,1022,1021,1020,27,14,10,19,6,,0.00,4,,44
